Airport_ID	Type	Name	Latitude_Deg	Longitude_Deg	Iata_Code	Airport_Radius
0	heliport	Total RF Heliport	40.070985	-74.933689	0	[(40.09594019859284, -74.933689), (40.09010179120898, -74.912727294635), (40.07531842475897, -74.90157380417368), (40.05850740070358, -74.90544737076014), (40.04753478403206, -74.92253550953869), (40.04753478403206, -74.94484249046133), (40.05850740070358, -74.96193062923986), (40.07531842475897, -74.96580419582632), (40.09010179120898, -74.95465070536501), (40.09594019859284, -74.933689)]
17	small_airport	Hammer Airport	41.978401	-89.560402	0	[(42.028311397185675, -89.560402), (42.01663458241795, -89.5172463454042), (41.98706784951793, -89.49428370121545), (41.953445801407156, -89.50225854385103), (41.93150056806412, -89.53743935581124), (41.93150056806412, -89.58336464418875), (41.953445801407156, -89.61854545614898), (41.98706784951793, -89.62652029878456), (42.01663458241795, -89.6035576545958), (42.028311397185675, -89.560402)]
30	small_airport	Bucks Airport	39.472998	-75.184346	0	[(39.52290839718568, -75.184346), (39.51123158241795, -75.1427852065738), (39.48166484951793, -75.1206711702885), (39.448042801407155, -75.1283512944921), (39.42609756806412, -75.16223196371469), (39.42609756806412, -75.2064600362853), (39.448042801407155, -75.2403407055079), (39.48166484951793, -75.24802082971149), (39.51123158241795, -75.22590679342619), (39.52290839718568, -75.184346)]
36	heliport	Miami Valley Hospital Heliport	39.745091	-84.187278	0	[(39.770046198592844, -84.187278), (39.76420779120898, -84.16641577725802), (39.74942442475897, -84.15531522039478), (39.732613400703585, -84.15917040333558), (39.72164078403207, -84.17617744313678), (39.72164078403207, -84.19837855686323), (39.732613400703585, -84.21538559666443), (39.74942442475897, -84.21924077960523), (39.76420779120898, -84.20814022274199), (39.770046198592844, -84.187278)]
38	heliport	Steel Systems Heliport	44.932899475097656	-123.12999725341795	0	[(44.9578546736905, -123.12999725341795), (44.95201626630663, -123.10733852641773), (44.93723289985662, -123.09528206960461), (44.92042187580124, -123.09946923311404), (44.909449259129715, -123.11794079660483), (44.909449259129715, -123.1420537102311), (44.92042187580124, -123.16052527372189), (44.93723289985662, -123.16471243723132), (44.95201626630663, -123.15265598041819), (44.9578546736905, -123.12999725341795)]
44	heliport	Tcjc-Northeast Campus Heliport	32.847599029541016	-97.1894989013672	0	[(32.87255422813385, -97.18949890136722), (32.86671582074999, -97.17040524402883), (32.85193245429998, -97.16024572116144), (32.83512143024459, -97.16377408642522), (32.824148813573075, -97.17933937849983), (32.824148813573075, -97.19965842423458), (32.83512143024459, -97.2152237163092), (32.85193245429998, -97.21875208157297), (32.86671582074999, -97.20859255870559), (32.87255422813385, -97.18949890136722)]
57	heliport	Providence Seward Medical Center Heliport	60.105873975399994	-149.446249008	0	[(60.130829173992836, -149.446249008), (60.12499076660897, -149.41406415836784), (60.11020740015896, -149.3969389575733), (60.09339637610358, -149.4028864773936), (60.08242375943206, -149.42912380720549), (60.08242375943206, -149.46337420879453), (60.09339637610358, -149.4896115386064), (60.11020740015896, -149.4955590584267), (60.12499076660897, -149.47843385763218), (60.130829173992836, -149.446249008)]
69	heliport	Medical Center Heliport	32.47930145263672	-84.9791030883789	0	[(32.50425665122956, -84.9791030883789), (32.4984182438457, -84.96008795291453), (32.48363487739569, -84.94997021066364), (32.4668238533403, -84.95348406567157), (32.45585123666878, -84.96898534612801), (32.45585123666878, -84.9892208306298), (32.4668238533403, -85.00472211108624), (32.48363487739569, -85.00823596609418), (32.4984182438457, -84.99811822384328), (32.50425665122956, -84.9791030883789)]
79	heliport	Lourdes Hospital Heliport	37.051700592041016	-88.64689636230469	0	[(37.07665579063386, -88.64689636230469), (37.07081738324999, -88.62679731402277), (37.05603401679998, -88.616102833808), (37.03922299274459, -88.61981698780878), (37.028250376073075, -88.63620188208992), (37.028250376073075, -88.65759084251947), (37.03922299274459, -88.6739757368006), (37.05603401679998, -88.67768989080139), (37.07081738324999, -88.66699541058661), (37.07665579063386, -88.64689636230469)]
84	seaplane_base	Annapolis Seaplane Base	38.999199	-76.456001	0	[(39.04910939718568, -76.456001), (39.03743258241795, -76.41471992371483), (39.00786584951793, -76.39275472181156), (38.974243801407155, -76.40038315637673), (38.95229856806412, -76.43403579809673), (38.95229856806412, -76.47796620190327), (38.974243801407155, -76.51161884362327), (39.00786584951793, -76.51924727818844), (39.03743258241795, -76.49728207628517), (39.04910939718568, -76.456001)]
